title,description,department,year
6.100A Introduction to Computer Science Programming in Python,"6.100A Introduction to Computer Science Programming in Python(,); first half of termPrereq: NoneUnits: 2-0-4Credit cannot also be received for6.100LURL:https://introcomp.mit.edu/spring25Ends Mar 21.Lecture:MW3-4.30(26-100)Recitation:F10(5-134) orF11(5-134,24-121) orF12(24-121) orF1(5-134) orF2(5-134) orF1(5-217) orF2(5-217)Introduction to computer science and programming for students with little or no programming experience. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Combination of 6.100A and 6.100B or 16.C20 counts as REST subject. Final given in the seventh week of the term.Fall:A. BellSpring:A. BellTextbooks (Spring 2025)",MIT - EECS,2024
6.100B Introduction to Computational Thinking and Data Science,"6.100B Introduction to Computational Thinking and Data Science(,); second half of termPrereq:6.100Aor permission of instructorUnits: 2-0-4Credit cannot also be received for9.C20,16.C20,18.C20,CSE.C20URL:https://introcomp.mit.edu/spring25Begins Mar 31.Lecture:MW3-4.30(26-100)Recitation:F10(5-134) orF11(5-134,24-121) orF12(24-121) orF1(5-134) orF2(5-134) orF1(5-217) orF2(5-217)Provides an introduction to using computation to understand real-world phenomena. Topics include plotting, stochastic programs, probability and statistics, random walks, Monte Carlo simulations, modeling data, optimization problems, and clustering. Combination of 6.100A and 6.100B counts as REST subject.Fall:A. BellSpring:A. BellTextbooks (Spring 2025)",MIT - EECS,2024
6.100L Introduction to Computer Science and Programming,"6.100L Introduction to Computer Science and Programming(,)Prereq: NoneUnits: 2-0-4Credit cannot also be received for6.100AURL:https://introcomp.mit.edu/6.100L_sp25Lecture:MW3-4.30(34-101)Recitation:F10(32-123)Introduction to computer science and programming for students with no programming experience. Presents content taught in 6.100A over an entire semester. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Lectures are viewed outside of class; in-class time is dedicated to problem-solving and discussion. Combination of 6.100L and 6.100B or 16.C20 counts as REST subject.Fall:A. BellSpring:A. BellTextbooks (Spring 2025)",MIT - EECS,2024
6.1010 Fundamentals of Programming,"6.1010 Fundamentals of Programming(,)Prereq:6.100AUnits: 2-4-6Lecture:MW9(32-124) orMW10(32-124,32-144) orMW11(56-154,37-212) orMW1(4-163,32-124) orMW2(4-163) orMW3(3-270) orMW12(32-124)Lab:F10-1(32-044) orF2-5(32-044)+finalIntroduces fundamental concepts of programming. Designed to develop skills in applying basic methods from programming languages to abstract problems. Topics include programming and Python basics, computational concepts, software engineering, algorithmic techniques, data types, and recursion.  Lab component consists of software design, construction, and implementation of design. Enrollment may be limited.Fall:R. MillerSpring:A. HartzNo textbook information available",MIT - EECS,2024
6.1020 Software Construction,"6.1020 Software Construction()Prereq:6.1010Units: 3-0-12Lecture:TR9.30-11(26-100)+finalIntroduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects.M. GoldmanNo required or recommended textbooks",MIT - EECS,2024
6.1040 Software Design,"6.1040 Software Design()Prereq:6.1020and6.1200Units: 4-0-14Provides design-focused instruction on how to build complex software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (inventing, modeling and evaluating constituent concepts), social and ethical implications, abstract data modeling, and visual design. Implementation topics include reactive front-ends, web services, and databases. Students work both on individual projects and a larger team project in which they design and build full-stack web applications.A. Satyanarayan",MIT - EECS,2024
6.1060 Software Performance Engineering,"6.1060 Software Performance Engineering()Prereq:6.1020,6.1210, and6.1910Units: 3-12-3Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming.C. Leiserson",MIT - EECS,2024
6.5060 Algorithm Engineering,"6.5060 Algorithm Engineering()Prereq:6.1060and6.1220Units: 3-0-9Covers the theory and practice of algorithms and data structures. Topics include models of computation, algorithm design and analysis, and performance engineering of algorithm implementations. Presents the design and implementation of sequential, parallel, cache-efficient, and external-memory algorithms. Illustrates many of the principles of algorithm engineering in the context of parallel algorithms and graph problems.Staff",MIT - EECS,2024
6.5080 Multicore Programming,"6.5080 Multicore Programming()(Subject meets with6.5081)Prereq:6.1210Units: 4-0-8Introduces principles and core techniques for programming multicore machines. Topics include locking, scalability, concurrent data structures, multiprocessor scheduling, load balancing, and state-of-the-art synchronization techniques, such as transactional memory. Includes sequence of programming assignments on a large multicore machine, culminating with the design of a highly concurrent application. Students taking graduate version complete additional assignments.N. Shavit",MIT - EECS,2024
6.5081 Multicore Programming,"6.5081 Multicore Programming()(Subject meets with6.5080)Prereq:6.1210Units: 4-0-8Introduces principles and core techniques for programming multicore machines. Topics include locking, scalability, concurrent data structures, multiprocessor scheduling, load balancing, and state-of-the-art synchronization techniques, such as transactional memory. Includes sequence of programming assignments on a large multicore machine, culminating with the design of a highly concurrent application. Students taking graduate version complete additional assignments.Staff",MIT - EECS,2024
